process_id,process_name,step_1,step_2,step_3,step_4,step_5,step_6
6_0,Identify Songs Using Melody - Using Technology,Find the right app or program for you, Use a music-recognition app, Record yourself humming the melody, Include any additional details you can think of, Post up your query, Wait for an answer
6_1,Update Your Browser - Updating Apple Safari on Mac OS X,Click on the Apple menu and select “System Preferences,"” Click on “App Store"" and then ""Show Updates",” The Updates window will display on-screen, Browse the list of updates to locate updates for your Safari browser, Click on the “Update” button next to the Safari update, Type in the administrator password for your Mac computer at the prompt
6_2,Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Flip your hair upside down, Turn on the diffuser and hold it pointed up, Lay a handful of curls in the bowl of the diffuser, Lift the diffuser until it touches your head to dry your roots, Move on to the next section of hair, Continue until your hair is mostly dry
6_3,Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,Identify the perpetrator, Choose your court, Draft your complaint, File your complaint, Have the defendant served, Wait for a response
6_4,Peel and Devein Shrimp - Deveining Shrimp,Use a paring knife to make a slit along the shrimp's back, Use the end of the knife to lift the vein slightly, Pull the vein out gently with your fingers, Check the shrimp's belly, Rinse your fingers and the shrimp, Keep the shrimp cold until you're ready to cook them
6_5,Perform Tracheostomy Care - Suctioning the Tube,Gather your materials, Wash your hands thoroughly, Prepare and test the catheter, Prep the patient and administer saline, Insert the catheter and apply suction, Let the patient get some air
6_6,Make Spring Rolls - Cooking Thai Fresh Rolled,Mix the tapioca flour and rice flour in bowl," Mix coconut milk, salt and coconut sugar", Divide the flour mixture into 3 cups of droplets of food coloring, Bring the pan over low heat, Make a slight increase in volume and wait for the cooked until it looks mellow, Bring it to the cutting board
6_7,Play Roller Derby - Starting the Jam,Get the blockers and pivots on the straight portion of the track, Position the jammers behind the pack before each jam starts, Begin timing the skaters for a jam (2 minutes) once they start moving, Start a new jam after 1 jam ends, Take up to three 1-minute time outs during the game, Swap out players between jams as needed
6_8,Throat Sing - Throat Singing,Relax your jaw and lips," Make an ""R"" or ""L"" sound with the tip of your tongue"," Sing a comfortably low ""base"" note", Move the body of your tongue back and forth, Slowly change the shape of your lips to adjust the sound, Bring it all together to throat sing
6_9,Talk About Daily Stress with Your Partner - Having Daily Conversations,Approach your partner, Open up about how you feel, Discuss your stress temperature, Listen, Find an appropriate limit, Keep updated on each other’s lives
6_10,Text a Heart Using Symbols,Create a new message, Enter the recipient, Go to the symbol keypad to add symbols, Insert the open angle bracket, Add a 3, Send your message
6_11,Create a Chocolate Rose Arrangement - Making the Chocolate Roses,Place cookie sticks into the bottom of each mold so its ready to be covered with chocolate, Divide chocolate colors into microwave safe bowls, Microwave each bowl on half power for approximately 60 seconds, Immediately spoon melted chocolate into molds, Place molds in the refrigerator and allow to chill for 15 or more minutes, Remove flowers from molds by gently twisting mold tray and set flowers on a clean baking sheet out of the way
6_12,Clean Brass Handles - Cleaning Brass Plate,Determine if you have brass-plated metal, Determine if your brass-plated handle is lacquered, Use ammonia or mild soap on unlacquered brass-plated handles, Utilize soapy water to clean lacquered brass-plated handles, Use a commercial cleaning product for heavily tarnished brass plate, Be especially gentle with brass-plated handles
6_13,Convert MediaWiki to WordPress,Decide on which method you'll choose for your site data transfer," Prepare for your WordPress migration, to make everything properly", Install new WordPress website and activate all the necessary plugins," Inform your site visitors about the switching and when finished, start converting your MediaWiki content to WordPress", Redesign the site, Set up 301 URLs redirects from old MediaWiki to WP
6_14,Make a Good Pot of Coffee - Brewing the Coffee,Select how much coffee you want to make, Add cold water to the reservoir on the coffee maker, Place a filter inside the machine over the coffee pot, Pour coffee grounds into the filter and close the machine, Press the start button and wait for up to 12 minutes, Serve and enjoy the coffee while it’s hot
6_15,Pack Pants - Folding Pants,Decide which pants should be folded, Start with ironed pants, Lay the pants on a flat surface, Fold the pants in half so the legs overlap, Fold them in half vertically, Fold them in half once more
6_16,Diagnose a Yeast Infection at Home - Using a Home Test Kit,Buy an at-home vaginal pH test kit, Read the manufacturer's instructions and wash your hands, Sit on the toilet or squat and spread the folds near your vaginal opening apart, Insert the swab into your vagina and press it against the vaginal wall for 5 seconds, Hold the swab against the chart to read your results, Contact your doctor if the pH level is above 4
6_17,Polish Chrome Wheels - Cleaning Your Wheels,Fill a bucket with warm water and car soap, Apply the soap to each of your wheels with a large sponge, Use a soft wheel brush to clean hard-to-reach areas, Wait 5-10 minutes to let the soap eat away at the dirt, Rinse your wheels off to remove the soap residue, Dry your wheels off using compressed air or a clean cloth
6_18,Play iPad Videos on TV - Using an Adapter,Buy an HDMI-to-iPad adapter, Plug the adapter into your iPad, Connect the adapter to your TV, Turn on your TV, Change your TV's input to the iPad's cable, Watch your videos
6_19,Make Paper Dolls - Completing Your Paper Doll,Draw a base for your doll, Laminate or line your drawing with contact paper, Cut out the doll with scissors, Create a stand for your doll, Print out some clothes that go with your template, Design and make some clothes for your doll
6_20,Convert from Decimal to Binary - Descending Powers of Two and Subtraction,Start by making a chart, Look for the greatest power of 2, Move to the next lower power of two," Subtract each successive number that can fit, and mark it with a 1", Continue until you reach the end of your chart, Write out the binary answer
6_21,Rotate Pages in a PDF Document Using Adobe Acrobat - Steps,Open the Rotate Pages dialog box, Set direction of rotation, Specify page range, Specify page numbers, Click OK,The selected pages are rotated in the specified direction
6_22,Make an Outdoor Canopy - Making a Canopy with 4 Poles and a Tarp,"Buy a high-quality tarp with grommets, big enough to cover the desired area", Clear the area for the canopy and lay out the tarp on the ground, Attach a tent pole to each corner of the tarp with nylon rope, Lift up the tarp with the help of 4 people and stick the poles into the ground, Stretch out the ropes from each corner and secure them with tent stakes, Put 1 longer tent pole in the middle of the canopy and stick it in the ground
6_23,Style Waist Length Hair - Getting Creative with Chopsticks and Braids,Put the top half of your hair in a ponytail, Twist your ponytail into a bun, Hold your bun in place with chopsticks, Decorate with a second chopstick, Separate the rest of your hair into quarters, Braid each quarter
6_24,Learn Cooking by Yourself - Mastering the Basics,Review safe cooking guidelines, Follow recipes exactly, Start with breakfast, Move on to making simple meals more decadent, Try your hand at soups and stews, Move on to casseroles
