process_id,process_name,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
9_0,Make a Pumpkin Cake - Vegan Pumpkin Cake,Prepare to make the cake, Whisk the sugar and wet ingredients, Sift the dry ingredients, Combine the wet ingredients with the dry, Pour the cake batter into the pan, Bake the cake, Have the cake cool, Frost and decorate the cake, Serve and enjoy!
9_1,Transfer Nokia Contacts to a Samsung - Syncing Google Contacts,Open Settings , Tap Accounts, Tap Add account, Tap Google, Sign into your Google account, Tap your new Google account, Tap Sync account, Tap to turn the switch on  next to “Contacts,” Your phone will sync your Google Contacts
9_2,Make a Gas Mask - Making an Air Filter for your Mask,Attach a homemade air filtration system to your mask to protect from some gases, Cut off the top of a 1-liter bottle, Fill the bottom of the bottle with 3–4 inches (7,6–10 cm) of activated charcoal, Cut the bottom off another 1-liter bottle, Fill the top of the bottle with 3-4 inches of pillow stuffing, Poke 6-7 holes in the charcoal end of your filter when you’re ready to use it, Use a rubber hose to connect the bottom of your air mask to your filter, Replace your activated charcoal with each use
9_3,Buy a Harley Davidson - Considering a Used Harley-Davidson,Familiarize yourself with Harley-Davidson bikes of recent decades, Search classified ads, Find the current market value of the specific model you're considering, Test ride the bike you are considering purchasing, Inspect the interior and the exterior of the bike, Verify the vehicle's mileage, Ask the owner about the vehicle's history and maintenance, Get a vehicle history report using the bike's VIN, Negotiate the price until you are satisfied
9_4,Tell If Someone Is in Your Closet,Say something funny, Listen for any rustling or breathing from the closet," Look for any signs that your closet has been opened or tampered with, generally a badly closed door or something moved out of the way", Turn on the light (or use a flashlight) to peer inside the closet before opening it if your closet has a slit in it," If you have a temperature gun and your closet has cracks, fire that inside and look for temperature spikes", Lock your closet somehow, Bang on the closet door loudly," Ask ""Is anyone inside of my closet?"" Slowly open the closet door, having a good grip on the handle and using your foot to prevent the door from opening far", Repeat step 7 until the door is fully open
9_5,Play Chopsticks on a Keyboard or Piano - Playing the Song,Play the first measure, Prepare for the second measure, Play the E and G notes, Move your fingers to the D and B notes, Play the D and B notes," Move your fingers to C, one octave apart", Play the C notes only four times, Start from the top, Practice and practice!
9_6,Service an Air Conditioner - Clean the Air Conditioner,Make sure the unit is turned off either at the on/off switch and unplugging it or by shutting off the circuit breaker, Check the small copper pipe connecting the unit to the house, Rake any leaves and debris away from the unit before you start to service an air conditioner," Take the cover off the unit, and locate the air conditioner coils (they look like a car radiator)", Use a soft brush to brush any dirt and debris off the outside cover, Cover the motor and wiring with a plastic sheet," Hose down the fins, coils and inside of the unit", Check your owner's manual," Replace the unit cover, and turn it on to make sure it runs properly"
9_7,Reset Browser Settings - Firefox,Understand what resetting Firefox will accomplish, Open Firefox, Click the Firefox menu button, Click on Troubleshooting Information, Press the Reset Firefox,,, button located at the top right of the page, Confirm that you want to reset your browser settings
9_8,Fix a Bicep Tear - Resuming Physical Activity,Resume activities slowly and only after the pain subsides, Begin with pendulum exercises, Perform shoulder shrugs and shoulder blade pinches, Do flexion stretches by bending your elbow 10 times, Do 10 supination and pronation stretches, Do 10 internal and external rotations, Try full shoulder flexion stretches, Use resistance bands after at least a week of pain-free stretching, Do 2 sets of 8 to 12 biceps curls
9_9,Turn On Windows Defender - Turning on Windows Defender,Make sure you recently turned off Windows Defender, Open Start , Open Settings , Click  Update & Security, Click the Windows Security tab, Click Virus & threat protection, Click Virus & threat protection settings," Click the ""Off""  switch below the ""Real-time protection"" heading", Click Yes when prompted
9_10,Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge,Cut ⁄4 in (0,64 cm)-thick plywood to form the straight edge’s base, Saw ⁄4 in (1,9 cm)-thick plywood for the straight edge’s fence, Align the boards and fasten them together with glue and nails, Clamp the straight edge and trim it with a circular saw, Raise and measure the board you wish to cut with the straight edge, Line up the straight edge base with the marks and clamp it in place, Cut the board with a circular saw
9_11,Brown a Roast for Cooking in a Crockpot,Rinse the roast with cold water, Place the meat on a cutting board," Pat it dry with paper towels, pressing to absorb as much water as possible", Trim any excess fat off the meat, Cut the roast into smaller pieces if it is too large to fit into your crockpot, Heat 2 tablespoons (30 mm) of cooking oil in a large Dutch oven on medium high heat, Sprinkle and rub salt and pepper all over the meat, Brown the meat in the hot oil for several minutes on each side, Remove the seared meat and place it in the crockpot you’ll use to roast it
9_12,Make Vegetable Fritters - Making Gluten Free Vegetable Fritters,"Wash, peel, and grate the zucchinis", Salt and strain the zucchinis, Combine the zucchinis with the rest of the ingredients," Stir everything together, and add some lemon juice, if desired", Heat some oil in a large skillet, Ladle spoonfuls of batter onto the skillet, Cook the fritters for 2 to 3 minutes per side, Transfer the fritters to a wire cooling rack, Serve the fritters
9_13,Clear Your Browser's Cache - Firefox on Desktop,Open Firefox, Click ☰, Click Library, Click History, Click Clear Recent History…, Select a time range," Click the ""Details"" drop-down box"," Check the ""Cache"" box", Click Clear Now
9_14,Build a Home Studio for Computer Based Music Recording - Building a Home Studio,Write a plan of what you want to do, Acquire the appropriate equipment, Buy or download music-editing software for your PC, Connect everything up, Learn how to record a sound from an input line and how to arrange pre-recorded sounds, Select a room in your house, Start writing simple tracks," If you have trouble with any of the above, pick up a Mixing / Studio Book"," Once you've learned the basics, start breaking it down"
9_15,Draw Skylanders - Hex,"Near the topmost and center of the paper, draw a circle for her head"," Below the circle, draw a curved spade shape for the chin and jaws"," Beneath these, draw a polygon and stick figure to represent her torso and arms", Draw a vertical line at the center of the entire head and chin part," Using these line guides, draw Hex's large almond-like eyes", Begin tracing the outline of Hex's body, Add details on her body and costume, Erase unnecessary lines, Thicken the outline of her eyes
9_16,Ride the Disneyland Monorail - Preparing to Board,Find where you want to board the Monorail, Go through the bag-and-ticket check for the monorail ride, Walk the ramp up to the waiting area just before the train platform, Wait in line for your monorail train to arrive, Wait for the train to come to a complete halt and for the exiting passengers to exit," Wait for the aluminum white safety gate to open, before crossing the platform and walking up to the train", Walk up and into the train once it's clear to board, Listen to all safety announcements, Watch the monorail doors as they close
9_17,Make Rainbow Frosting - Skittles Rainbow Frosting,Separate the Skittles into each color, Microwave the Skittles, Allow the melted Skittles to cool for about 5 minutes, Beat the butter in a large bowl using an electric mixer, Pour in the powdered sugar and tablespoon of milk, Separate the frosting into 5 medium-sized bowls, Pour one color of the melted Skittles into each bowl and stir well, Spoon the frosting colors onto a piping bag, Serve
9_18,Field Dress a Deer - Removing the Entrails,Position the deer with its head facing uphill, Slice into the belly just deep enough to get through the skin, Slice the skin all the way up to the neck and down to the anus, Make an incision into the middle of the belly muscle and insert 2 fingers into the hole, Insert the blade facing up between the 2 fingers you inserted, Cut all the way up the deer’s midline without piercing the entrails, Remove the sex organs if they’re in the way (when applicable)," Cut a hole around the anus, then tie it off from the inside to prevent spilling", Roll the deer on its side and carefully pull out the entrails with your hands
9_19,Use Instacart on an iPhone or iPad,Open Instacart on your iPhone or iPad and log in to the app if you haven't done so already," Explore the ""Home"" tab"," Find the ""Cart""  icon at the top right corner of every tab's page"," Learn a little about the ""Search"" tab"," Use the ""Browse"" tab to find seasonal items and other features that might catch your eye", Watch out for Instacart-only coupons in the Coupons tab," Use the ""Your Items"" tab to personalize your browsing", Learn about the product pages, Use the buttons below the product page to add items to your Cart
