process,step,annotation,iaa,true_label,id
Throat Sing - Throat Singing," Make an ""R"" or ""L"" sound with the tip of your tongue","[0, 0, 0, 1, 1]",0.4,0,1
Make Sweet Curry Powder, Mix the spices together in a small mixing bowl,"[1, 1, 2, 2, 1]",1.0,1,2
Find Fulfilling Work - Finding a Possible Career Path, Make a list of options,"[1, 1, 1, 2, 1]",1.0,1,3
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker,Find or buy a pressure cooker pot,"[0, 1, -1, 1, 2]",0.4,1,4
Buy a Harley Davidson - Considering a Used Harley-Davidson, Search classified ads,"[1, 0, 1, 1, 1]",0.6,1,5
Make Bottle Penguins - Adding Optional Details," Glue a pompom to the top of the hat, if desired","[1, 2, 2, 1, 1]",1.0,1,6
Give Flat Hair Volume - Drying Your Hair to Add Volume, Preserve the effect with hairspray (optional),"[2, 1, -1, 2, 2]",0.6,1,7
Clear Your Browser's Cache - Firefox on Desktop, Click Library,"[2, 2, 2, -1, 2]",0.6,1,8
Go to Sleep Fast for Kids - Starting a Bedtime Routine,Plan to start your bedtime routine about 30 to 60 minutes before bedtime,"[2, 1, 2, 0, -1]",0.4,1,9
Clean Brass Handles - Cleaning Brass Plate, Use a commercial cleaning product for heavily tarnished brass plate,"[1, 1, 2, 0, 1]",0.6,1,10
Kill English Ivy - Killing Ivy on Trees, Cut away the ivy on the ground,"[1, 0, 1, 2, 0]",0.4,1,11
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution,Use an appropriate cleaning solution,"[1, 1, 1, 1, 0]",0.6,1,12
Make a Vegan Avocado Chocolate Cake," Add the vegetable oil, water, vinegar and vanilla in the other mixing bowl","[2, 2, 1, 2, 0]",0.6,1,13
Play Chopsticks on a Keyboard or Piano - Playing the Song, Start from the top,"[2, 0, 2, 1, 1]",0.6,1,14
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant, Draft your complaint,"[1, 1, 1, 2, 2]",1.0,1,15
Make Tiger Tails - Pretzel tiger tails,Melt orange-colored candy melts in a microwave,"[1, 2, 0, 2, 1]",0.6,1,16
Make Clove Oil - Gathering Your Ingredients and Supplies," Find a dark, sanitized glass jar to keep the oil in","[1, 1, 0, 1, 1]",0.6,1,17
Find a Nursing Home for a Senior - Getting Set up in the Nursing Home, Gather all of your loved one's medical and personal information,"[1, 1, -1, 2, 1]",0.6,1,18
Change Your General Preferences on Safari - iOS," Tap ""Clear History and Website Data"" to delete your browsing data","[1, 2, 0, 1, 1]",0.6,1,19
Write a Hypothesis for an Essay - Composing the Hypothesis, Look at previous studies that focus on what you want to do,"[1, 1, 1, 1, 0]",0.6,1,20
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Choose a theme and color scheme that is compatible with the colors in your other main living areas.,"[-1.0, 1.0, 1.0, 1.0, 1.0]",0.6,1,21
Stay Organized when Moving,Provide water for everyone helping,"[1.0, 2.0, 1.0, -1.0, 2.0]",0.6,1,22
Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,Check your state's laws,"[2, 1, 1, 2, 1]",1.0,1,23
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution," Blast the surface clean using smooth, sweeping motions","[0, 1, 1, 1, 1]",0.6,1,24
Test the Heating Element in a Dryer - Examining an Electric Dryer, Remove the heating coil panel with a screwdriver,"[1, 1, -1, 1, 1]",0.6,1,25
Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy, Enjoy unfiltered access to the Internet,"[1, 2, 1, 2, 1]",1.0,1,26
Perform a Dihybrid Cross Using the Forked‐Line Method - Setting Up the Problem,"First, draw a large square and divide it into 4 equal squares.","[0.0, 1.0, 0.0, 1.0, 1.0]",0.4,1,27
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer, Take a rest,"[1, -1, 0, 1, 2]",0.4,1,28
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal, Calculate the total number of interest payments,"[1, 1, 2, 1, 2]",1.0,1,29
Install Internet Explorer - Using Windows 10, Click Yes to confirm,"[1, 2, 1, 1, 2]",1.0,1,30
Palpate Axillary Lymph Nodes - Performing the Exam, Moisturize your skin with lotion or soap to reduce friction,"[1, 1, -1, 1, 1]",0.6,1,31
Tell If Someone Is in Your Closet," Look for any signs that your closet has been opened or tampered with, generally a badly closed door or something moved out of the way","[0, 1, 2, 2, 1]",0.6,1,32
Make a Canoe - Carving Your Dugout Canoe, Create a flat bottom for your canoe,"[1, 0, 1, 1, 0]",0.4,1,33
Answer What Interests You About This Job - Showing Why You Like the Company, Incorporate what you know into your answer,"[1, 2, 1, 1, 0]",0.6,1,34
Learn Hypnosis - Mastering a Hypnotic Routine,Gain the other person’s attention with a story or task,"[0, 1, 1, 1, 0]",0.4,1,35
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC,Turn off your PC,"[1, -1, 1, 1, 2]",0.6,1,36
Be Ready and Comfortable Kissing a Guy,Spray nice perfume,"[1, 1, -1, 0, -1]",0.4,0,37
Clean Brass Handles - Cleaning Brass Plate, Be especially gentle with brass-plated handles,"[1, 0, 1, 1, 0]",0.4,1,38
Store Avocado - Packaging a Cut Avocado, Put your avocado back into its original shape if you can,"[1, 1, 1, 1, -1]",0.6,1,39
Learn Cooking by Yourself - Mastering the Basics, Try your hand at soups and stews,"[0, 1, 2, 2, 2]",0.6,1,40
