,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
1,1,1,xxx,xxx,How to Get Married in Oregon - Planning a Wedding Ceremony,xxx,Decide on the type of ceremony. Choose a season. Hire wedding vendors. Confirm the date with vendors and officiants. Make final payments.,xxx,xxx,xxx,1
2,2,2,xxx,xxx,How to Select a Dog Bed - Understanding Different Types of Beds,xxx,Buy a mat for the easiest solution. Pick a pillow bed for a large dog. Select a donut bed if your dog likes to feel secure. Purchase a nest bed for cuddling comfort. Buy a bolster-type bed if your dog is a leaner. Look for a cave-style bed if your dog likes to burrow. Consider a hammock bed for ease of cleaning.,xxx,xxx,xxx,0
3,3,3,xxx,xxx,How to Live with Atrial Fibrillation - Using Lifestyle Changes,xxx,Make things easier. Steer clear of harmful substances. Manage your stress levels. Eat a heart-healthy diet. Quit smoking. Exercise regularly. Take medications.,xxx,xxx,xxx,0
4,4,4,xxx,xxx,How to Get to Sleep and Feel Refreshed in the Morning - Getting to Sleep,xxx,Get comfortable. Cut out stimulants. Turn off the electronics. Stop your racing mind. Keep snacks light before bed. Stay on schedule. Try melatonin. Try a sleep aid. Understand when to see a doctor.,xxx,xxx,xxx,0
5,5,5,xxx,xxx,How to Train Puggles - House-Training Your Puggle,xxx,Begin training your puggle right away. Put your puggle on a training schedule. Clean up any accidents right away. Prepare a crate for your puggle. Teach your dog to use the crate.,xxx,xxx,xxx,1
6,6,6,xxx,xxx,How to Start a Yeast Free Diet - Trying a Four to Six Week Diet,xxx,Familiarize yourself with the foods that are off-limits. Familiarize yourself with the foods that you can eat. Familiarize yourself with treats. Continue this diet for four to six weeks. Slowly add foods back into your diet over a period of a few weeks.,xxx,xxx,xxx,1
7,7,7,xxx,xxx,How to Have Assault Charges Dropped - Taking Preliminary Steps,xxx,Decide why you want to drop the charges. Think over your decision. Seek legal advice. Encourage an abusive partner to get a lawyer.,xxx,xxx,xxx,1
8,8,8,xxx,xxx,How to Calculate the Volume of a Cube - Finding Volume from Surface Area,xxx,Find your cube's surface area. Divide the cube's surface area by 6. Take the square root of this value. Cube this value to find the cube's volume.,xxx,xxx,xxx,1
9,9,9,xxx,xxx,How to Get Your Crush to Like You in Fifth Grade (Girls),xxx,"Say the casual ""Hey"" to get their attention. Play the games outside that they play. Enjoy getting their attention. Work closely with them on school projects. See if you like the things they do. Laugh! Look your best around them. Try to exchange phone numbers, but be casual. Become real friends with the person. Ask them out, if they haven't asked you already!",xxx,xxx,xxx,0
10,10,10,xxx,xxx,How to Support the ACLU - Taking Action Online,xxx,"Go to the ACLU website. Click on the ""Take Action"" tab. Sign a petition. Send a letter to members of Congress. Send a message to private businesses.",xxx,xxx,xxx,1
