process,step,Hongming,Haoyu,Yuqian,ground_true_relabel,id
Make Sweet Curry Powder,Mix the spices together in a small mixing bowl,1,1,0,1,2
Find Fulfilling Work - Finding a Possible Career Path,Make a list of options,1,1,0,1,3
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker,Find or buy a pressure cooker pot,1,2,1,1,4
Buy a Harley Davidson - Considering a Used Harley-Davidson,Search classified ads,0,0,0,0,5
Make Bottle Penguins - Adding Optional Details," Glue a pompom to the top of the hat, if desired",0,-1,0,0,6
Give Flat Hair Volume - Drying Your Hair to Add Volume,Preserve the effect with hairspray (optional),0,0,0,0,7
Clear Your Browser's Cache - Firefox on Desktop,Click Library,1,1,1,1,8
Go to Sleep Fast for Kids - Starting a Bedtime Routine,Plan to start your bedtime routine about 30 to 60 minutes before bedtime,1,1,1,1,9
Clean Brass Handles - Cleaning Brass Plate,Use a commercial cleaning product for heavily tarnished brass plate,0,0,0,0,10
Kill English Ivy - Killing Ivy on Trees,Cut away the ivy on the ground,1,1,1,1,11
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution,Use an appropriate cleaning solution,1,1,1,1,12
Take Legal Action As a Victim of Violence at a Bar - Suing Your Assailant,Draft your complaint,1,2,1,1,15
Make Clove Oil - Gathering Your Ingredients and Supplies," Find a dark, sanitized glass jar to keep the oil in",0,0,0,0,17
Find a Nursing Home for a Senior - Getting Set up in the Nursing Home,Gather all of your loved one's medical and personal information,1,1,1,1,18
Change Your General Preferences on Safari - iOS," Tap ""Clear History and Website Data"" to delete your browsing data",1,0,0,0,19
Write a Hypothesis for an Essay - Composing the Hypothesis,Look at previous studies that focus on what you want to do,1,1,1,1,20
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Choose a theme and color scheme that is compatible with the colors in your other main living areas.,0,1,0,0,21
Hide a Lip Piercing from Parents or Bosses - Concealing Getting the Piercing,Check your state's laws,0,-1,0,0,23
Use Your Android As Your Workout Trainer - Using My Coach - Workout Trainer,Take a rest,0,1,0,0,28
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal,Calculate the total number of interest payments,1,0,0,0,29
Install Internet Explorer - Using Windows 10,Click Yes to confirm,1,1,1,1,30
Tell If Someone Is in Your Closet," Look for any signs that your closet has been opened or tampered with, generally a badly closed door or something moved out of the way",1,1,1,1,32
Make a Canoe - Carving Your Dugout Canoe,Create a flat bottom for your canoe,1,1,1,1,33
Answer What Interests You About This Job - Showing Why You Like the Company,Incorporate what you know into your answer,1,1,1,1,34
Learn Hypnosis - Mastering a Hypnotic Routine,Gain the other person’s attention with a story or task,1,1,1,1,35
Eject the CD Tray for Windows 10 - Ejecting from Inside a Desktop PC,Turn off your PC,0,-1,0,0,36
Be Ready and Comfortable Kissing a Guy,Spray nice perfume,1,0,1,1,37
Clean Brass Handles - Cleaning Brass Plate,Be especially gentle with brass-plated handles,1,0,1,1,38
Learn Cooking by Yourself - Mastering the Basics,Try your hand at soups and stews,1,0,0,0,40
Use Instacart on an iPhone or iPad,Use the buttons below the product page to add items to your Cart,1,1,1,1,41
Write Headings for an Article - Writing Headings for APA Articles,Include a running head/page header,0,0,0,0,42
Peel and Devein Shrimp - Deveining Shrimp,Pull the vein out gently with your fingers,1,1,1,1,44
Make Rainbow Frosting - Skittles Rainbow Frosting,Pour one color of the melted Skittles into each bowl and stir well,1,1,1,1,45
Use Massage for Neck Pain - Giving Yourself a Massage,Focus on the neck and shoulders,1,1,1,1,47
Paint Patio Furniture - Refinishing Rusty Metal Furniture,Give your finished furniture 24 hours to dry,1,1,1,1,49
Make a Temporary Tattoo Last Longer - Preparing Your Skin,Choose an area where the skin won't constantly be moving or flexing or coming into contact with oils and other substances,1,1,1,1,50
Measure an Angle Using a Protractor - Calculating Reflex Angles,Place your protractor on the straight line to measure the acute angle,1,1,1,1,51
Kill Ants in Your House - Eliminating a House Ant Colony,Lay out an “ant buffet” to see which bait food the ants prefer,1,-1,0,0,54
Act on a Movie Date at Your Boyfriend's House - Making A Good First Impression,Bring some snacks or a small gift,0,0,0,0,55
Cook Goose Breasts - Pan-Roasted Goose Breasts,Salt the goose breasts and bring them to room temperature,1,1,1,1,56
"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage",Rinse the cabbage,1,1,1,1,58
Update Your Vehicle Registration - Changing Your Name,Gather documentation and proof of identity,0,1,1,1,59
Make a Paper Hat - Making a Sailor or Alpine Hat,Flip the paper over and fold the second flap up too,0,0,0,0,61
Survive in the Woods - Starting a Fire,Collect larger logs for fuel,1,1,1,1,62
Get a Japanese Passport - Getting Your Passport,Fill out the application form at your local Ward Office,1,0,1,1,63
Toast Sunflower Seeds - Microwave Toasting,Spread the sunflowers seeds out in a microwave-safe dish,1,1,1,1,64
Report International Fraud - Reporting International Scams to EConsumer,Choose your complaint subject,1,1,1,1,65
Do the 'Pass It On' Trick in Class - Flash mobs,Understand the risk,0,0,0,0,68
Make Sweet Curry Powder,Get ingredients,1,1,1,1,70
Draw Cute Animals - A Cute Tiger,Draw the ears using small triangles,0,1,0,0,72
Write Headings for an Article - Writing Headings for APA Articles,Compose a level one heading,1,1,1,1,75
Play iPad Videos on TV - Using an Adapter,Watch your videos,1,0,1,1,76
Identify Songs Using Melody - Using Technology,Find the right app or program for you,1,1,1,1,77
Test Liver Function - Getting the Blood Test,Discuss any medications you are taking with your doctor,1,1,1,1,79
Password Protect a PDF - Using PDF2Go," Scroll down to the ""Settings"" section",1,1,1,1,81
Make Bottle Penguins - Adding Optional Details,"Give your penguin character with lashes, eyebrows, and/or blush",1,1,1,1,82
Grow Taro - Growing Shoots on Tubers,Wait a few weeks for the shoots to develop,1,1,1,1,85
Add a Color Palette in Photoshop from a Photograph - Using the Palette,Find and select the palette that you just created,1,1,1,1,86
Install Internet Explorer - Using Windows 10,Press Ctrl+J in your web browser,0,0,0,0,87
Peel and Devein Shrimp - Deveining Shrimp,Rinse your fingers and the shrimp,1,1,1,1,90
Peel a Pumpkin - Peeling with a Vegetable Peeler," Peel the skin using the peeler, starting from the side closest to you",0,1,0,0,92
Play French Darts,Get in playing position.,1,1,1,1,94
Repair a Book's Binding - Reattaching Loose Pages,Hold the book closed with a rubber band,1,1,1,1,95
Seed a Pomegranate By Hand - Removing Seeds in Water,Gently pry the seeds from the pomegranate skin,1,1,1,1,96
Learn Cooking by Yourself - Mastering the Basics,Review safe cooking guidelines,1,1,1,1,97
